Date,Wells Fargo C&B Large Cap Value A,Metropolitan West Total Return Bd I,Vanguard Real Estate ETF,iShares Gold Trust,DGS1MO
1/31/2005,54.54,18140.42,10290.55,10000,1
2/28/2005,57.26,18151.86,10616.92,10317.01,1.001716667
3/31/2005,55.63,18061.89,10312.44,10144.31,1.003811924
4/29/2005,52.55,18170.82,10907.46,10274.43,1.006011945
5/31/2005,56.17,18341.93,11291.54,9862.79,1.008275472
6/30/2005,56.36,18493.44,11681.59,10281.52,1.010628115
7/29/2005,60.89,18513.44,12515.42,10146.68,1.013146263
8/31/2005,57.99,18696,12007.96,10274.43,1.015890201
9/30/2005,56.36,18573.95,12029.85,11071.68,1.018777022
10/31/2005,53.63,18441.52,11683.58,10993.61,1.021451312
11/30/2005,59.62,18515.37,12169.15,11625.27,1.024660372
12/30/2005,59.2,18625.75,11852.74,12237.52,1.028075906
1/31/2006,63.29,18688.93,12746.27,13435.06,1.031511393
2/28/2006,63.66,18700.44,12983.08,13260,1.035267814
3/31/2006,67.57,18649.29,13516.42,13775.73,1.039124186
4/28/2006,71.85,18636.89,13056.72,15419.92,1.043150793
5/31/2006,69.43,18660.97,12704.48,15188.08,1.047149537
6/30/2006,67.94,18702.06,13194.03,14485.45,1.051294504
7/31/2006,68.5,18985.71,13707.46,14965.7,1.055271902
8/31/2006,74.08,19231.36,14185.07,14743.32,1.059686456
9/29/2006,79.84,19416.37,14306.47,14080.91,1.064207785
10/31/2006,86.35,19563.25,15192.04,14225.22,1.068287248
11/30/2006,90.82,19802.37,15918.41,15240.12,1.072898688
12/29/2006,93.52,19969.58,15323.38,14963.33,1.077565797
1/31/2007,96.47,19968.72,16668.66,15341.85,1.081831162
2/28/2007,91.17,20287.51,16199,15741.66,1.086338792
3/30/2007,90.97,20332.67,15791.04,15573.69,1.091082471
4/30/2007,98.63,20440.02,15771.14,15897.8,1.095692294
5/31/2007,102.94,20237.85,15711.44,15516.92,1.100075064
6/29/2007,100.59,20206.21,14119.4,15237.76,1.104457029
7/31/2007,93.72,20444.87,12953.23,15592.62,1.108396259
8/31/2007,92.93,20640.75,13826.87,15764.37,1.113134653
9/28/2007,100,20837.11,14220.9,17418.97,1.116863654
10/31/2007,101.37,20799.46,14519.4,18594.75,1.120056023
11/30/2007,94.9,21210.75,13144.28,18332.15,1.123798877
12/31/2007,89.56,21262.71,12230.85,19505.56,1.127198369
1/31/2008,81.71,21657.18,12135.32,21646.56,1.129790925
2/29/2008,74.06,21588.87,11749.85,22796.31,1.131334972
3/31/2008,73.85,21485.13,12415.92,21450.2,1.133286525
4/30/2008,80.26,21468.45,13207.96,20461.32,1.1344387
5/30/2008,80.88,21237.12,13180.1,20693.16,1.135544778
6/30/2008,63.1,21071.11,11625.87,21582.68,1.137418426
7/31/2008,66.62,20883.94,11988.06,21320.09,1.138934984
8/29/2008,69.93,21057.89,12272.64,19392,1.140406109
9/30/2008,58.97,20731.18,12099.5,20220.01,1.14195516
10/31/2008,27.13,20111.64,8260.7,16934,1.142925822
11/28/2008,16.8,20308.19,6479.6,19044.24,1.143040115
12/31/2008,21.22,20989.61,7253.73,20501.54,1.143059165
1/30/2009,9.8,20975.68,5982.09,21613.44,1.143163946
2/27/2009,-1.63,20770.57,4754.23,21920.98,1.143306841
3/31/2009,6.62,21076.44,4831.84,21383.96,1.143459282
4/30/2009,19.95,21444.62,6314.43,20662.41,1.143621272
5/29/2009,24.18,21779.48,6479.6,22777.38,1.143659393
6/30/2009,26.09,22092.11,6171.14,21587.41,1.14379282
7/31/2009,36.24,22918.79,6835.82,22119.71,1.143954857
8/31/2009,43.01,23393.49,7814.93,22107.88,1.144088319
9/30/2009,49.36,23902.37,8248.76,23404.31,1.144193194
10/30/2009,45.34,24413.49,7880.6,24289.09,1.144250403
11/30/2009,52.74,24653.79,8398.01,27381.12,1.144259939
12/31/2009,54.67,24621.58,8903.48,25400.99,1.144336223
1/29/2010,49.75,25287.19,8411.94,25081.62,1.144374367
2/26/2010,55.1,25429.42,8881.59,25895.43,1.14439344
3/31/2010,63.44,25589.71,9713.43,25793.71,1.14447927
4/30/2010,67.29,26152.48,10407.96,27305.42,1.144622329
5/31/2010,51.67,26106.29,9852.74,28126.33,1.144755869
6/30/2010,44.61,26476.43,9251.74,28791.1,1.144898963
7/30/2010,54.67,26881.1,10139.3,27348,1.145061157
8/31/2010,46.33,27341.04,10009.95,28909.39,1.145194748
9/30/2010,60.02,27524.98,10364.18,30281.52,1.14534744
10/29/2010,64.94,27806.43,10855.72,31417.08,1.145481064
11/30/2010,65.36,27677,10654.73,32079.49,1.145614704
12/31/2010,75.82,27491.08,11018.91,32883.84,1.145786546
1/31/2011,79.5,27707.87,11377.11,30778.33,1.145853383
2/28/2011,83.83,27855.58,11912.44,32623.61,1.145996615
3/31/2011,82.75,27913.32,11635.82,33167.73,1.146120765
4/29/2011,87.73,28232.86,12304.48,36124.91,1.14616852
5/31/2011,88.38,28531.02,12473.63,35462.5,1.146187623
6/30/2011,85.13,28279.59,11960.2,34634.49,1.146225829
7/29/2011,78.64,28611.93,12147.26,37544.36,1.146235381
8/31/2011,68.68,28727.51,11464.68,42157.56,1.146388212
9/30/2011,58.5,28728.15,10123.38,37449.73,1.146397765
10/31/2011,74.96,28812.83,11570.15,39673.53,1.146416872
11/30/2011,72.79,28698.4,11130.35,40359.59,1.146435979
12/30/2011,74.36,29007.86,11542.29,36030.28,1.146455086
1/31/2012,79.63,29479.89,12278.61,40170.33,1.14646464
2/29/2012,86.22,29719.36,12137.31,38987.46,1.146502855
3/30/2012,93.02,29804.96,12666.67,38490.66,1.146579289
4/30/2012,91.93,30112.27,13028.86,38396.03,1.146627063
5/31/2012,78.53,30354.7,12441.79,35982.97,1.14669395
6/29/2012,85.34,30493.03,13020.9,36810.98,1.146722617
7/31/2012,86.44,31114.82,13281.59,37189.5,1.146760841
8/31/2012,90.17,31421.9,13279.6,38987.46,1.146827735
9/28/2012,93.46,31892.27,12929.17,40856.4,1.146913748
10/31/2012,91.71,32054.71,12811.94,39649.87,1.146971093
11/30/2012,90.39,32261.39,12778.11,39460.61,1.147057116
12/31/2012,92.54,32356.13,13094.53,38512.42,1.147162263
1/31/2013,105.47,32406.66,13584.08,38325.05,1.147181382
2/28/2013,109.48,32578.36,13749.25,36361.49,1.147219622
3/29/2013,118.39,32691.48,14035.82,36716.35,1.147286543
4/30/2013,122.63,33100.98,14981.09,33948.43,1.147324786
5/31/2013,129.98,32651.6,14085.57,31842.91,1.147353469
6/28/2013,128.64,31943.05,13675.62,28365.27,1.147382153
7/31/2013,139.12,32092.29,13799,30423.47,1.147401276
8/30/2013,133.32,31939.76,12835.82,32008.52,1.147429961
9/30/2013,140.68,32332.21,13162.19,30494.44,1.147449085
10/31/2013,149.14,32688.33,13757.21,30387.98,1.147477771
11/29/2013,156.05,32669.64,13034.83,28696.48,1.147506458
12/31/2013,162.68,32518.15,12847.76,27631.89,1.147554271
1/31/2014,150.54,32975.38,13397.01,28554.53,1.147563834
2/28/2014,161.11,33132.24,14075.62,30399.81,1.147592523
3/31/2014,164.93,33112.13,14053.73,29429.86,1.147630776
4/30/2014,164.48,33372.97,14515.42,29571.8,1.147659466
5/30/2014,169.65,33788.61,14863.68,28696.48,1.147678594
6/30/2014,173.25,33826.9,14893.53,30470.78,1.147726414
7/31/2014,166.5,33804.21,14905.47,29382.54,1.147745543
8/29/2014,175.5,34119.07,15359.2,29477.17,1.147755107
9/30/2014,172.13,33931.55,14298.51,27679.21,1.147774237
10/31/2014,179.55,34206.7,15719.4,26851.19,1.147793366
